［逃离方块］Cube Escape Rusty Lake原声带,游戏;怀旧;治愈,18012,591
少数民族的独特天籁,民族;怀旧;感动,90231,1504
人音版初中音乐书八年级下册,世界音乐;怀旧;校园,34627,765
精选欧美百首经典老歌,欧美;怀旧;经典,4364446,65949
歌唱动荡的青春,小语种;怀旧;经典,178817,3850
蒸汽波复古 ∫ Wave tick,另类/独立;怀旧;放松,250600,7102
京韵鼓书琴书，小曲，太平歌词，伶歌，戏。,怀旧;华语;经典,490575,22732
青春校园bgm最美好时光,怀旧;校园;影视原声,168338,2582
风起云涌，战地越南，越战，使命召唤BGM,欧美;爵士;怀旧,264905,620
侠岚(原声音乐),怀旧;影视原声;网络歌曲,111823,1875
左翼快乐歌,怀旧,333256,8806
共产主义:核爆神曲,怀旧;民族;网络歌曲,45047,947
「蒸汽波Vaporwave」和我一起做夢吧。,舞曲;怀旧;电子,2926,38
《最后的莫西干人》所有版本,民族;怀旧;旅行,244291,5129
李叔同 弘一法师 专辑,古风;怀旧;安静,33136,941
岁月留声，致敬永恒流行经典,欧美;流行;怀旧,2414317,43007
亚历山大罗夫红旗歌舞团,怀旧;小语种;经典,74930,1469
经典单口相声选集,地铁;怀旧;快乐,53284,757
经典车载发烧女声【开车必备】,驾车;翻唱;怀旧,51142,1323
英伦入侵丨现代摇滚的诞生年代,欧美;摇滚;怀旧,850830,9729
五月天 | 林宥嘉 | 蘇打綠,华语;怀旧;治愈,400502,7169
Avril Lavigne 艾薇儿丨酵母战胜了黑暗,欧美;世界音乐;怀旧,185138,4144
客语歌曲（客家话流行歌曲）,小语种;民族;怀旧,135591,1908
「蒸気波」霓虹幻夢,另类/独立;怀旧;浪漫,166721,4354
杀马特非主流葬爱家族祖传元老级神曲,舞曲;怀旧;经典,1714126,28667
【美剧】黄石第一季精选Yellowstone,民谣;乡村;怀旧,9221,312
鬼吹灯全集【周建龙】,影视原声;怀旧;夜晚,860637,20263
《邪不压正》电影原声带,影视原声;经典;怀旧,100009,1327
Route66 | 逃离都市，沿着66号公路纵情西驰,摇滚;蓝调;怀旧,2482018,59775
混搭系蒸汽波每首都是精品,日语;旅行;怀旧,1768788,54879
跟着老罗听音乐|尹食堂三时三餐新婚日记,治愈;放松;怀旧,217903,6123
暴走的大事件2018年劲歌金曲名单,怀旧,12804,158
【80与90後回忆杀】暴露年龄的经典抖腿舞曲,舞曲;经典;怀旧,1518177,26379
别问，问就两开花,华语;怀旧;影视原声,9986,237
摇摆恋曲 · 摩登恋人的宇宙飞船,另类/独立;怀旧;放松,752739,17466
迪士尼动画电影原声选集,怀旧;治愈;影视原声,178599,4584
从普鲁士到魏玛—德国军乐和革命音乐选,古典;怀旧,23850,891
卍高品味青年必备歌单|爵士布鲁斯|老唱片,爵士;欧美;怀旧,4538,97
柯尔克孜族～歌曲精选kyrgyz2019,夜晚;浪漫;怀旧,265493,5181
JoJo的奇妙音乐梗,摇滚;怀旧;经典,1268773,26119
Jalal Anwar 男神歌曲合集,流行;怀旧;思念,245413,2223
普鲁士军队传统军乐,怀旧;影视原声;古典,78794,3287
——00后大部分都听过的动画片经典老歌——,影视原声;怀旧;儿童,21842,455
美剧【美国众神】American.Gods.全二季,欧美;怀旧;影视原声,7840,250
海绵宝宝的背景音乐,欧美;怀旧;治愈,63368,2200
电视剧【都挺好】歌单更新完结,华语;怀旧;影视原声,94355,1361
微醺慵懒式 | 文艺青年的复古趴,爵士;怀旧;放松,979766,26822
【怀旧】老歌终究经得起时间推敲,怀旧;80后;华语,8804154,10万
唯有一曲动人解忧愁,欧美;爵士;怀旧,11187,1023
『经典戏曲』是谁惊艳了你的一生,经典;怀旧,81344,2461
华语 | 爱上怀旧，爱上老歌,华语;流行;怀旧,1141413,15079
京剧经典名剧「四郎探母」合集,民族;怀旧;经典,28420,802
怀旧辑 | 昨日红花今又开，似是故人来,华语;粤语;怀旧,10604251,11万
猫和老鼠背景音乐 古典 可查看歌单信息,儿童;古典;怀旧,575596,15885
1967年唱片不完全目录,欧美;经典;怀旧,77778,1259
曾经有个阴阳师,游戏;网络歌曲;怀旧,567611,30195
广东艺考音乐鉴赏曲目⑨中国戏曲篇,民族;怀旧;学习,29125,1661
【汉风·戏腔】古韵之美,古风;华语;怀旧,15324,412
改版歌曲第一人,华语;流行;怀旧,151551,1381
勋鹿灿白各种文的OST》（包括个人团体应援,怀旧;浪漫;思念,50902,3260
SS闪电部队在前进！,世界音乐;怀旧;思念,12955,128
钢铁雄心4铁幕冷战BGM,金属;怀旧,3551,67
【相声曲艺】赵本山小品集,放松;经典;怀旧,166390,1825
绝无仅有的艺术大师—卓别林,古典;怀旧;经典,68311,1878
超带感游戏音乐,怀旧;ACG;游戏,269403,38
『UyGuR』经典老牌子歌曲,民族;怀旧;80后,2526736,17360
我自关山点酒，千秋皆入喉,怀旧;古风;运动,10960,83
【印度/巴基斯坦】老电影经典插曲,小语种;怀旧;影视原声,11393,158
记忆限定-蔡徐坤cp应援曲！实时更新！,流行;思念;怀旧,199502,10862
电影独白 ｜世间所有的相遇都是久别重逢,怀旧;影视原声;旅行,42481,1125
剪刀手必备BGM【cp向/剧情/群像/古风/现代,古风;流行;怀旧,103028,3954
『那些你熟悉的动画片可已经忘记歌曲名字『,怀旧,39495,751
8090经典电视剧金曲,怀旧;70后;80后,104083,1796
黑胶小酒馆 | 摇晃的红酒搭配swing jazz,爵士;怀旧;浪漫,177268,5152
世界100首最经典的殿堂音乐,经典;古典;怀旧,1028839,42001
『了不起的麦瑟尔夫人』S1+S2,欧美;怀旧;影视原声,279294,10275
100条Riff带你回顾摇滚史,怀旧;摇滚,5714,312
新概念英语(第三册)英音版,怀旧,174155,4960
妈妈咪呀！Mamma Mia! 1&2,欧美;影视原声;怀旧,96434,1833
「童谣」／梦中有甜歌芬芳／,欧美;流行;怀旧,159938,2308
‖法式情‖ 浪漫的国度，浪漫的歌曲,古典;怀旧;欧美,38533,564
喜羊羊和灰太狼音乐合辑,伤感;怀旧;思念,50554,961
『回忆童年经典动画片主题曲』,影视原声;90后;怀旧,35440604,69万
猫和老鼠：我的两位古典乐启蒙老师,古典;怀旧;经典,1591926,56171
国风风云榜,华语;古风;怀旧,6923276,43401
独立摇滚 | 带你去看星星掉落的地方,另类/独立;摇滚;怀旧,88295,724
古风|暗水留香冷一溪,古风;怀旧;华语,25555,1389
鼹鼠的故事：记录曾被时光温柔过的音符,小语种;怀旧;90后,118312,2168
雨天咖啡馆，爵士慵懒猫,爵士;古典;怀旧,71251,1307
人生跌跌撞撞 回眸望去 是童年的欢笑,怀旧;儿童;经典,163202,3235
【童年国产动画片主题曲】认真抄歌词系列,怀旧;90后;经典,89034,1431
墨明棋妙十一周年（2007-2018）,华语;古风;怀旧,30007,1127
童年动画片主题曲,怀旧,19041,289
谭富英大师老唱片（全集）,华语;经典;怀旧,9263,198
煌煌北凉镇灵歌,古风;怀旧;思念,431624,9081
你见过比大海还要深邃的蓝色吗,欧美;蓝调;怀旧,1247009,25091
古风/戏腔【练字/静心（怎么可能）时用】,华语;古风;怀旧,1568591,45643
【美剧】第二十二条军规 Catch-22,爵士;影视原声;怀旧,4362,408
柯尔克孜金典歌曲大全,民族;流行;怀旧,266975,4974
剑网3十周年原创,怀旧;游戏,5215,153
戏腔||于我一生迷梦,怀旧;古风,929698,37249
那些绝不会忘记的国漫主题曲,怀旧;经典;ACG,3011800,82266
陈奕迅、Eason并非虚耗,粤语;怀旧;经典,121303,1619
『惊艳戏腔』唱一曲此情别离,华语;古风;怀旧,4744,348
京剧.评剧,华语;民族;怀旧,30184,1129
400首好听古风歌,华语;古风;怀旧,315994,8478
世界经典电影录音剪辑大全,经典;影视原声;怀旧,7067,236
黄伟文笔下的爱恨情仇,粤语;怀旧,3325566,59808
民国旧忆｜氤氲木香犹未散 一缕远忆上心头,华语;古风;怀旧,3981591,97103
【怀旧Disco】穿越到80年代复古迪斯科舞厅,怀旧;舞曲;70后,467639,8228
BBC 【英式英语 诗歌/纪录片】,欧美;学习;怀旧,444854,36217
【迪士尼】公主们的歌声,欧美;怀旧;影视原声,1494215,33563
童年经典动画片回忆杀,怀旧;00后;影视原声,1438036,25694
双笙 囧菌 玄觞 三无 银临 漆柚 Akie秋绘,怀旧;古风;清新,285203,10269
白龙马蹄儿朝西,怀旧;儿童;90后,190871,1857
任他们多漂亮未及你矜贵,粤语;夜晚;怀旧,273103,2953
银河护卫队～星爵的歌单（按顺序更新）,欧美;怀旧;影视原声,157906,3072
童年回忆录——儿时国漫大盘点,怀旧;90后;00后,230587,4289
「古风」谁持长枪迎敌将，谁识兵法算锦囊。,华语;古风;怀旧,100319,2942
高级小众咖啡馆基调 |优雅美学,浪漫;怀旧;下午茶,112819,2620
【英语故事.】,欧美;怀旧;安静,5651,152
国色天香第二季 MIC男团,华语;古风;怀旧,63679,1672
【FUNK】个人精选 locking freestyle,舞曲;怀旧;快乐,191552,4089
BBC《好兆头 Good Omens》主题曲/插曲,影视原声;怀旧;摇滚,59563,1896
